 --------------------------------------------------------------------------------------------------------------------------------------- 
|   Log file for  'avsnr'. This file is generated during first encoding session, new sessions will be appended                           |
 --------------------------------------------------------------------------------------------------------------------------------------- 
|SNR a0|SNR a1|SNR a2|SNR a3|Bit a0|Bit a1|Bit a2|Bit a3|SNR b0|SNR b1|SNR b2|SNR b3|Bit b0|Bit b1|Bit b2|Bit b3|   Mode      | Output  |
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.32| 38.64| 41.76| 44.64|1467.00|2383.00|3819.00|5940.00| Percent mode|   -1.11 %|
| 33.16| 36.41| 39.81| 42.80|1945.00|3456.00|5808.00|9189.00| 33.28| 36.51| 39.87| 42.80|1947.00|3458.00|5809.00|9190.00|  DSNR mode  | 0.076 dB|
| 33.16| 36.41| 39.81| 42.80|1945.00|3456.00|5808.00|9189.00| 33.28| 36.51| 39.87| 42.80|1947.00|3458.00|5809.00|9190.00| Percent mode|   -1.21 %|
| 30.07| 33.26| 37.14| 41.51|3059.00|6616.00|12428.00|20050.00| 30.10| 33.29| 37.17| 41.51|3061.00|6618.00|12429.00|20051.00|  DSNR mode  | 0.025 dB|
| 30.07| 33.26| 37.14| 41.51|3059.00|6616.00|12428.00|20050.00| 30.10| 33.29| 37.17| 41.51|3061.00|6618.00|12429.00|20051.00| Percent mode|   -0.43 %|
| 31.69| 34.92| 38.38| 42.30|3151.00|5389.00|9001.00|14650.00| 31.76| 34.97| 38.41| 42.30|3153.00|5390.00|9002.00|14651.00|  DSNR mode  | 0.038 dB|
| 31.69| 34.92| 38.38| 42.30|3151.00|5389.00|9001.00|14650.00| 31.76| 34.97| 38.41| 42.30|3153.00|5390.00|9002.00|14651.00| Percent mode|   -0.55 %|
| 32.92| 35.78| 38.97| 42.46|1710.00|3171.00|5943.00|10679.00| 33.08| 35.92| 39.05| 42.48|1712.00|3173.00|5944.00|10680.00|  DSNR mode  | 0.104 dB|
| 32.92| 35.78| 38.97| 42.46|1710.00|3171.00|5943.00|10679.00| 33.08| 35.92| 39.05| 42.48|1712.00|3173.00|5944.00|10680.00| Percent mode|   -1.97 %|
| 33.56| 36.79| 39.59| 42.54|2283.00|3580.00|5531.00|9301.00| 33.68| 36.86| 39.63| 42.54|2285.00|3582.00|5532.00|9302.00|  DSNR mode  | 0.052 dB|
| 33.56| 36.79| 39.59| 42.54|2283.00|3580.00|5531.00|9301.00| 33.68| 36.86| 39.63| 42.54|2285.00|3582.00|5532.00|9302.00| Percent mode|   -0.80 %|
| 28.44| 32.68| 37.14| 41.71|9139.00|14697.00|21643.00|29730.00| 28.56| 32.77| 37.18| 41.71|9141.00|14698.00|21644.00|29731.00|  DSNR mode  | 0.070 dB|
| 28.44| 32.68| 37.14| 41.71|9139.00|14697.00|21643.00|29730.00| 28.56| 32.77| 37.18| 41.71|9141.00|14698.00|21644.00|29731.00| Percent mode|   -0.61 %|
| 34.51| 37.61| 40.84| 44.11|1200.00|2273.00|4073.00|6868.00| 34.62| 37.71| 40.89| 44.14|1202.00|2275.00|4074.00|6869.00|  DSNR mode  | 0.073 dB|
| 34.51| 37.61| 40.84| 44.11|1200.00|2273.00|4073.00|6868.00| 34.62| 37.71| 40.89| 44.14|1202.00|2275.00|4074.00|6869.00| Percent mode|   -1.31 %|
| 33.02| 36.55| 40.14| 43.63|2716.00|4348.00|6740.00|10098.00| 33.17| 36.69| 40.22| 43.63|2718.00|4350.00|6741.00|10099.00|  DSNR mode  | 0.102 dB|
| 33.02| 36.55| 40.14| 43.63|2716.00|4348.00|6740.00|10098.00| 33.17| 36.69| 40.22| 43.63|2718.00|4350.00|6741.00|10099.00| Percent mode|   -1.25 %|
| 31.16| 34.02| 37.44| 41.63|2283.00|4843.00|9524.00|17012.00| 31.21| 34.08| 37.49| 41.63|2285.00|4845.00|9525.00|17013.00|  DSNR mode  | 0.047 dB|
| 31.16| 34.02| 37.44| 41.63|2283.00|4843.00|9524.00|17012.00| 31.21| 34.08| 37.49| 41.63|2285.00|4845.00|9525.00|17013.00| Percent mode|   -0.91 %|
| 29.27| 33.19| 37.41| 41.81|5779.00|10346.00|16567.00|24202.00| 29.34| 33.25| 37.46| 41.81|5781.00|10347.00|16568.00|24203.00|  DSNR mode  | 0.051 dB|
| 29.27| 33.19| 37.41| 41.81|5779.00|10346.00|16567.00|24202.00| 29.34| 33.25| 37.46| 41.81|5781.00|10347.00|16568.00|24203.00| Percent mode|   -0.59 %|
| 30.13| 33.52| 37.46| 41.69|3090.00|6648.00|12031.00|18991.00| 30.16| 33.57| 37.50| 41.70|3091.00|6650.00|12032.00|18992.00|  DSNR mode  | 0.039 dB|
| 30.13| 33.52| 37.46| 41.69|3090.00|6648.00|12031.00|18991.00| 30.16| 33.57| 37.50| 41.70|3091.00|6650.00|12032.00|18992.00| Percent mode|   -0.60 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.31| 38.62| 41.75| 44.63|1467.00|2383.00|3819.00|5940.00|  DSNR mode  | 0.061 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.31| 38.62| 41.75| 44.63|1467.00|2383.00|3819.00|5940.00| Percent mode|   -0.91 %|
| 33.16| 36.41| 39.81| 42.80|1945.00|3456.00|5808.00|9189.00| 33.27| 36.51| 39.86| 42.80|1947.00|3458.00|5809.00|9190.00|  DSNR mode  | 0.071 dB|
| 33.16| 36.41| 39.81| 42.80|1945.00|3456.00|5808.00|9189.00| 33.27| 36.51| 39.86| 42.80|1947.00|3458.00|5809.00|9190.00| Percent mode|   -1.13 %|
